25.127;0.012
25.184;0.012
24.636;0.012
24.673;0.012
24.227;0.012
24.365;0.012
24.278;0.012
23.936;0.012
23.398;0.012
23.52;0.013
22.633;0.013
22.365;0.013
22.298;0.013
22.258;0.013
22.255;0.013
22.715;0.013
22.716;0.013
22.661;0.013
22.715;0.013
24.114;0.014
24.77;0.014
26.483;0.014
28.315;0.014
30.21;0.02
31.909;0.02
34.319;0.021
38.775;0.022
42.973;0.022
44.386;0.027
37.692;0.026
26.061;0.025
23.189;0.025
13.329;0.018
6.558;0.017
3.932;0.016
2.784;0.015
2.674;0.014
1.934;0.013
1.81;0.013
1.689;0.012
3.794;0.008
11.022;0.008
14.526;0.008
16.728;0.016
18.289;0.011
14.45;0.013
10.089;0.014
10.223;0.015
9.768;0.016
7.162;0.016
4.92;0.016
4.023;0.016
1.999;0.015
1.848;0.015
1.926;0.015
1.869;0.015
1.833;0.01
1.8;0.008
1.276;0.013
1.307;0.008
3.435;0.008
9.547;0.008
12.964;0.008
14.644;0.009
15.265;0.017
15.129;0.015
12.192;0.015
10.035;0.015
9.36;0.015
7.407;0.015
6.034;0.015
4.473;0.015
4.374;0.015
3.757;0.015
1.736;0.015
1.732;0.014
1.793;0.014
1.778;0.014
1.77;0.013
1.729;0.009
4.637;0.009
10.084;0.009
12.148;0.009
12.808;0.011
12.68;0.012
11.63;0.013
9.606;0.014
8.315;0.019
6.844;0.007
0.049;0.005
0.038;0.005
0.033;0.005
0.033;0.005
0.033;0.004
0.033;0.004
0.033;0.004
0.032;0.004
0.031;0.004
0.03;0.004
0.029;0.004
0.029;0.003
0.029;0.003
0.029;0.003
0.028;0.003
0.028;0.003
0.027;0.003
0.025;0.002
0.024;0.002
0.022;0.002
0.021;0.002
0.02;0.002
0.019;0.002
0.018;0.002
0.018;0.002
0.017;0.001
0.017;0.001
0.016;0.001
0.016;0.001
0.016;0.001
0.016;0.001
0.017;0.001
0.017;0.001
0.017;0.001
0.018;0.001
0.019;0.001
0.02;0.001
0.02;0.001
