14.026;0.007
13.945;0.007
13.866;0.007
13.864;0.007
13.484;0.007
13.529;0.007
13.529;0.007
13.506;0.007
13.503;0.007
13.926;0.008
13.374;0.008
13.317;0.008
13.379;0.008
13.745;0.008
13.256;0.008
13.341;0.008
13.335;0.008
13.323;0.008
13.727;0.008
13.927;0.008
14.049;0.008
14.448;0.008
15.402;0.009
14.452;0.009
12.539;0.009
10.438;0.009
9.732;0.014
8.709;0.014
7.117;0.013
5.574;0.012
4.164;0.012
1.937;0.007
1.028;0.006
0.61;0.006
0.539;0.005
0.474;0.005
0.423;0.005
0.385;0.005
0.351;0.004
0.35;0.004
4.653;0.004
7.183;0.004
8.627;0.004
9.11;0.004
6.92;0.004
4.539;0.005
2.907;0.005
1.898;0.005
1.265;0.006
1.216;0.006
1.165;0.006
1.145;0.006
0.737;0.006
0.606;0.006
0.541;0.006
0.494;0.006
0.455;0.006
0.425;0.006
0.401;0.005
1.185;0.005
4.787;0.005
6.965;0.005
8.405;0.005
8.968;0.005
7.249;0.005
4.971;0.005
2.761;0.006
1.806;0.006
1.156;0.006
1.044;0.007
0.975;0.007
0.555;0.007
0.524;0.007
0.51;0.006
0.465;0.006
0.423;0.006
0.389;0.006
0.36;0.006
0.342;0.005
0.343;0.005
3.61;0.005
5.857;0.005
7.812;0.008
7.938;0.01
6.483;0.011
4.172;0.012
2.776;0.013
1.754;0.013
1.268;0.013
1.157;0.013
1.114;0.014
1.06;0.014
1.007;0.006
0.005;0.004
0.035;0.004
0.049;0.004
0.054;0.003
0.056;0.003
0.055;0.003
0.054;0.003
0.052;0.003
0.05;0.003
0.048;0.002
0.047;0.002
0.049;0.002
0.049;0.002
0.049;0.002
0.05;0.002
0.051;0.002
0.052;0.002
0.053;0.002
0.054;0.001
0.055;0.001
0.056;0.001
0.058;0.001
0.059;0.001
0.061;0.001
0.063;0.001
0.065;0.001
0.067;0.001
0.068;0.001
0.07;0.001
0.072;0.001
0.073;0.001
0.074;0.001
0.076;0.001
0.076;0.001
0.077;0.001
0.078;0.001
0.078;0.001
0.078;0.001
0.078;0.001
0.078;0.001
